2025-10-04 16:35:43 | INFO | quality_checker |   - Registros inválidos: 2457 (0.61%)
2025-10-04 16:35:43 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:35:43 | INFO | quality_checker |     • valor_total_invalido: 2457 ocorrências
2025-10-04 16:35:43 | INFO | quality_checker |     • valor_iptu_invalido: 3 ocorrências
2025-10-04 16:36:08 | INFO | quality_checker | Iniciando validação de 407245 registros
2025-10-04 16:36:08 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:36:08 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:36:08 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:36:08 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:36:09 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:36:09 | INFO | quality_checker |   - Registros válidos: 404562 (99.34%)
2025-10-04 16:36:09 | INFO | quality_checker |   - Registros inválidos: 2683 (0.66%)
2025-10-04 16:36:09 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:36:09 | INFO | quality_checker |     • valor_total_invalido: 2683 ocorrências
2025-10-04 16:36:09 | INFO | quality_checker |     • valor_iptu_invalido: 4 ocorrências
2025-10-04 16:36:29 | INFO | quality_checker | Iniciando validação de 411090 registros
2025-10-04 16:36:29 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:36:29 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:36:29 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:36:30 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:36:30 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:36:30 | INFO | quality_checker |   - Registros válidos: 407766 (99.19%)
2025-10-04 16:36:30 | INFO | quality_checker |   - Registros inválidos: 3324 (0.81%)
2025-10-04 16:36:30 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:36:30 | INFO | quality_checker |     • valor_total_invalido: 3324 ocorrências
2025-10-04 16:36:30 | INFO | quality_checker |     • valor_iptu_invalido: 4 ocorrências
2025-10-04 16:36:51 | INFO | quality_checker | Iniciando validação de 415029 registros
2025-10-04 16:36:51 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:36:51 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:36:51 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:36:51 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:36:52 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:36:52 | INFO | quality_checker |   - Registros válidos: 411162 (99.07%)
2025-10-04 16:36:52 | INFO | quality_checker |   - Registros inválidos: 3867 (0.93%)
2025-10-04 16:36:52 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:36:52 | INFO | quality_checker |     • valor_total_invalido: 3867 ocorrências
2025-10-04 16:36:52 | INFO | quality_checker |     • valor_iptu_invalido: 7 ocorrências
2025-10-04 16:37:03 | INFO | quality_checker | Iniciando validação de 500 registros
2025-10-04 16:37:03 | WARNING | quality_checker | Campo 'contribuinte' não encontrado no DataFrame
2025-10-04 16:37:03 | WARNING | quality_checker | Campo 'ano' não encontrado no DataFrame
2025-10-04 16:37:03 | WARNING | quality_checker | Campo 'logradouro' não encontrado no DataFrame
2025-10-04 16:37:03 | WARNING | quality_checker | Campo 'bairro' não encontrado no DataFrame
2025-10-04 16:37:03 | WARNING | quality_checker | Campo 'cidade' não encontrado no DataFrame
2025-10-04 16:37:03 | WARNING | quality_checker | Campo 'valor_total' não encontrado no DataFrame
2025-10-04 16:37:03 | WARNING | quality_checker | Campo 'valor_iptu' não encontrado no DataFrame
2025-10-04 16:37:03 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:37:03 | WARNING | quality_checker | Nenhuma validação pôde ser aplicada
2025-10-04 16:37:03 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:37:03 | INFO | quality_checker |   - Registros válidos: 500 (100.00%)
2025-10-04 16:37:03 | INFO | quality_checker |   - Registros inválidos: 0 (0.00%)
2025-10-04 16:39:03 | INFO | quality_checker | Iniciando validação de 403915 registros
2025-10-04 16:39:03 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:39:04 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:39:04 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:39:04 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:39:05 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:39:05 | INFO | quality_checker |   - Registros válidos: 401458 (99.39%)
2025-10-04 16:39:05 | INFO | quality_checker |   - Registros inválidos: 2457 (0.61%)
2025-10-04 16:39:05 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:39:05 | INFO | quality_checker |     • valor_total_invalido: 2457 ocorrências
2025-10-04 16:39:05 | INFO | quality_checker |     • valor_iptu_invalido: 3 ocorrências
2025-10-04 16:39:30 | INFO | quality_checker | Iniciando validação de 407245 registros
2025-10-04 16:39:30 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:39:31 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:39:31 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:39:31 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:39:32 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:39:32 | INFO | quality_checker |   - Registros válidos: 404562 (99.34%)
2025-10-04 16:39:32 | INFO | quality_checker |   - Registros inválidos: 2683 (0.66%)
2025-10-04 16:39:32 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:39:32 | INFO | quality_checker |     • valor_total_invalido: 2683 ocorrências
2025-10-04 16:39:32 | INFO | quality_checker |     • valor_iptu_invalido: 4 ocorrências
2025-10-04 16:39:52 | INFO | quality_checker | Iniciando validação de 411090 registros
2025-10-04 16:39:52 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:39:53 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:39:53 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:39:54 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:39:55 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:39:55 | INFO | quality_checker |   - Registros válidos: 407766 (99.19%)
2025-10-04 16:39:55 | INFO | quality_checker |   - Registros inválidos: 3324 (0.81%)
2025-10-04 16:39:55 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:39:55 | INFO | quality_checker |     • valor_total_invalido: 3324 ocorrências
2025-10-04 16:39:55 | INFO | quality_checker |     • valor_iptu_invalido: 4 ocorrências
2025-10-04 16:40:15 | INFO | quality_checker | Iniciando validação de 415029 registros
2025-10-04 16:40:15 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:40:16 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:40:16 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:40:16 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:40:17 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:40:17 | INFO | quality_checker |   - Registros válidos: 411162 (99.07%)
2025-10-04 16:40:17 | INFO | quality_checker |   - Registros inválidos: 3867 (0.93%)
2025-10-04 16:40:17 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:40:17 | INFO | quality_checker |     • valor_total_invalido: 3867 ocorrências
2025-10-04 16:40:17 | INFO | quality_checker |     • valor_iptu_invalido: 7 ocorrências
2025-10-04 16:40:27 | INFO | quality_checker | Iniciando validação de 500 registros
2025-10-04 16:40:27 | WARNING | quality_checker | Campo 'contribuinte' não encontrado no DataFrame
2025-10-04 16:40:27 | WARNING | quality_checker | Campo 'ano' não encontrado no DataFrame
2025-10-04 16:40:27 | WARNING | quality_checker | Campo 'logradouro' não encontrado no DataFrame
2025-10-04 16:40:27 | WARNING | quality_checker | Campo 'bairro' não encontrado no DataFrame
2025-10-04 16:40:27 | WARNING | quality_checker | Campo 'cidade' não encontrado no DataFrame
2025-10-04 16:40:27 | WARNING | quality_checker | Campo 'valor_total' não encontrado no DataFrame
2025-10-04 16:40:27 | WARNING | quality_checker | Campo 'valor_iptu' não encontrado no DataFrame
2025-10-04 16:40:27 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:40:27 | WARNING | quality_checker | Nenhuma validação pôde ser aplicada
2025-10-04 16:40:27 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:40:27 | INFO | quality_checker |   - Registros válidos: 500 (100.00%)
2025-10-04 16:40:27 | INFO | quality_checker |   - Registros inválidos: 0 (0.00%)
2025-10-04 16:42:10 | INFO | quality_checker | Iniciando validação de 403915 registros
2025-10-04 16:42:10 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:42:11 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:42:11 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:42:11 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:42:11 | INFO | quality_checker | ✓ Validação concluída:
