2025-10-04 21:09:24 | INFO | CSVIngestor | ✓ CSV carregado: 407245 registros, 32 colunas
2025-10-04 21:09:46 | INFO | CSVIngestor | Lendo arquivo iptu_2022.csv do ZIP em chunks (tamanho: 50000)...
2025-10-04 21:09:46 | INFO | CSVIngestor | Arquivo encontrado: iptu_2022.csv
2025-10-04 21:09:49 | INFO | CSVIngestor | ✓ CSV carregado: 411090 registros, 32 colunas
2025-10-04 21:10:06 | INFO | CSVIngestor | Lendo arquivo iptu_2023.csv do ZIP em chunks (tamanho: 50000)...
2025-10-04 21:10:06 | INFO | CSVIngestor | Arquivo encontrado: iptu_2023.csv
2025-10-04 21:10:11 | INFO | CSVIngestor | ✓ CSV carregado: 415029 registros, 32 colunas
2025-10-10 19:24:11 | INFO | CSVIngestor | Lendo arquivo iptu_2020.csv do ZIP em chunks (tamanho: 50000)...
2025-10-10 19:24:11 | INFO | CSVIngestor | Arquivo encontrado: iptu_2020.csv
2025-10-10 19:24:15 | INFO | CSVIngestor | ✓ CSV carregado: 403915 registros, 32 colunas
2025-10-10 19:24:40 | INFO | CSVIngestor | Lendo arquivo iptu_2021.csv do ZIP em chunks (tamanho: 50000)...
2025-10-10 19:24:40 | INFO | CSVIngestor | Arquivo encontrado: iptu_2021.csv
2025-10-10 19:24:44 | INFO | CSVIngestor | ✓ CSV carregado: 407245 registros, 32 colunas
2025-10-10 19:25:08 | INFO | CSVIngestor | Lendo arquivo iptu_2022.csv do ZIP em chunks (tamanho: 50000)...
2025-10-10 19:25:08 | INFO | CSVIngestor | Arquivo encontrado: iptu_2022.csv
2025-10-10 19:25:12 | INFO | CSVIngestor | ✓ CSV carregado: 411090 registros, 32 colunas
2025-10-10 19:25:42 | INFO | CSVIngestor | Lendo arquivo iptu_2023.csv do ZIP em chunks (tamanho: 50000)...
2025-10-10 19:25:42 | INFO | CSVIngestor | Arquivo encontrado: iptu_2023.csv
2025-10-10 19:25:45 | INFO | CSVIngestor | ✓ CSV carregado: 415029 registros, 32 colunas
