2025-10-04 16:43:23 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 16:43:23 | INFO | Harmonizer | ✓ Harmonização concluída: 407766 registros
2025-10-04 16:43:44 | INFO | Harmonizer | Iniciando harmonização de 411162 registros
2025-10-04 16:43:49 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 16:43:54 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 16:43:54 | INFO | Harmonizer | ✓ Harmonização concluída: 411162 registros
2025-10-04 16:44:00 | INFO | Harmonizer | Iniciando harmonização de 500 registros
2025-10-04 16:44:00 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 16:44:00 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 16:44:00 | INFO | Harmonizer | ✓ Harmonização concluída: 500 registros
2025-10-04 17:20:16 | INFO | Harmonizer | Iniciando harmonização de 401458 registros
2025-10-04 17:20:20 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:20:23 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:20:23 | INFO | Harmonizer | ✓ Harmonização concluída: 401458 registros
2025-10-04 17:20:58 | INFO | Harmonizer | Iniciando harmonização de 404562 registros
2025-10-04 17:21:06 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:21:13 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:21:13 | INFO | Harmonizer | ✓ Harmonização concluída: 404562 registros
2025-10-04 17:21:41 | INFO | Harmonizer | Iniciando harmonização de 407766 registros
2025-10-04 17:21:45 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:21:48 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:21:48 | INFO | Harmonizer | ✓ Harmonização concluída: 407766 registros
2025-10-04 17:22:09 | INFO | Harmonizer | Iniciando harmonização de 411162 registros
2025-10-04 17:22:12 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:22:16 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:22:16 | INFO | Harmonizer | ✓ Harmonização concluída: 411162 registros
2025-10-04 17:22:21 | INFO | Harmonizer | Iniciando harmonização de 498 registros
2025-10-04 17:22:21 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:22:21 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:22:21 | INFO | Harmonizer | ✓ Harmonização concluída: 498 registros
2025-10-04 17:25:29 | INFO | Harmonizer | Iniciando harmonização de 401458 registros
2025-10-04 17:25:33 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:25:36 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:25:36 | INFO | Harmonizer | ✓ Harmonização concluída: 401458 registros
2025-10-04 17:26:13 | INFO | Harmonizer | Iniciando harmonização de 404562 registros
2025-10-04 17:26:18 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:26:22 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:26:22 | INFO | Harmonizer | ✓ Harmonização concluída: 404562 registros
2025-10-04 17:26:48 | INFO | Harmonizer | Iniciando harmonização de 407766 registros
2025-10-04 17:26:52 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:26:57 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:26:57 | INFO | Harmonizer | ✓ Harmonização concluída: 407766 registros
2025-10-04 17:27:15 | INFO | Harmonizer | Iniciando harmonização de 411162 registros
2025-10-04 17:27:22 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:27:28 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:27:28 | INFO | Harmonizer | ✓ Harmonização concluída: 411162 registros
2025-10-04 17:27:33 | INFO | Harmonizer | Iniciando harmonização de 498 registros
2025-10-04 17:27:33 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:27:33 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:27:33 | INFO | Harmonizer | ✓ Harmonização concluída: 498 registros
2025-10-04 17:36:19 | INFO | Harmonizer | Iniciando harmonização de 401458 registros
2025-10-04 17:36:24 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:36:29 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:36:29 | INFO | Harmonizer | ✓ Harmonização concluída: 401458 registros
2025-10-04 17:37:00 | INFO | Harmonizer | Iniciando harmonização de 404562 registros
2025-10-04 17:37:04 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:37:08 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:37:08 | INFO | Harmonizer | ✓ Harmonização concluída: 404562 registros
2025-10-04 17:39:48 | INFO | Harmonizer | Iniciando harmonização de 401458 registros
2025-10-04 17:39:52 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:39:55 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:39:55 | INFO | Harmonizer | ✓ Harmonização concluída: 401458 registros
2025-10-04 17:40:21 | INFO | Harmonizer | Iniciando harmonização de 404562 registros
2025-10-04 17:40:25 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:40:29 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:40:29 | INFO | Harmonizer | ✓ Harmonização concluída: 404562 registros
2025-10-04 17:40:57 | INFO | Harmonizer | Iniciando harmonização de 407766 registros
2025-10-04 17:41:00 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:41:03 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:41:03 | INFO | Harmonizer | ✓ Harmonização concluída: 407766 registros
2025-10-04 17:41:21 | INFO | Harmonizer | Iniciando harmonização de 411162 registros
2025-10-04 17:41:24 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:41:28 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:41:28 | INFO | Harmonizer | ✓ Harmonização concluída: 411162 registros
2025-10-04 17:41:32 | INFO | Harmonizer | Iniciando harmonização de 498 registros
2025-10-04 17:41:32 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 17:41:32 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 17:41:32 | INFO | Harmonizer | ✓ Harmonização concluída: 498 registros
2025-10-04 20:27:48 | INFO | Harmonizer | Iniciando harmonização de 401458 registros
2025-10-04 20:27:53 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 20:27:58 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 20:27:58 | INFO | Harmonizer | ✓ Harmonização concluída: 401458 registros
2025-10-04 20:28:25 | INFO | Harmonizer | Iniciando harmonização de 404562 registros
2025-10-04 20:28:29 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 20:28:34 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 20:28:34 | INFO | Harmonizer | ✓ Harmonização concluída: 404562 registros
2025-10-04 20:28:58 | INFO | Harmonizer | Iniciando harmonização de 407766 registros
2025-10-04 20:29:03 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 20:29:08 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 20:29:08 | INFO | Harmonizer | ✓ Harmonização concluída: 407766 registros
2025-10-04 20:29:36 | INFO | Harmonizer | Iniciando harmonização de 411162 registros
2025-10-04 20:29:43 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 20:29:48 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 20:29:48 | INFO | Harmonizer | ✓ Harmonização concluída: 411162 registros
2025-10-04 20:29:55 | INFO | Harmonizer | Iniciando harmonização de 498 registros
2025-10-04 20:29:55 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 20:29:55 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 20:29:55 | INFO | Harmonizer | ✓ Harmonização concluída: 498 registros
2025-10-04 21:09:02 | INFO | Harmonizer | Iniciando harmonização de 401458 registros
2025-10-04 21:09:05 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 21:09:07 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 21:09:07 | INFO | Harmonizer | ✓ Harmonização concluída: 401458 registros
2025-10-04 21:09:26 | INFO | Harmonizer | Iniciando harmonização de 404562 registros
2025-10-04 21:09:28 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 21:09:32 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 21:09:32 | INFO | Harmonizer | ✓ Harmonização concluída: 404562 registros
