2025-10-04 16:22:15 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2022/iptu_2022.parquet (411090 records)
2025-10-04 16:22:23 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2023/iptu_2023.zip (13285089 bytes)
2025-10-04 16:22:52 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2023/iptu_2023.parquet (415029 records)
2025-10-04 16:22:54 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2024/iptu_2024.zip (33823 bytes)
2025-10-04 16:25:58 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 16:25:58 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 16:25:58 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 16:26:08 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 16:26:15 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2020/iptu_invalid_2020.parquet (2457 records)
2025-10-04 16:26:20 | ERROR | S3Loader | Failed to upload DataFrame to S3: ("Expected bytes, got a 'float' object", 'Conversion failed for column tipo_contribuinte with type object')
2025-10-04 16:29:43 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 16:29:43 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 16:29:43 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 16:29:59 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 16:30:06 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2020/iptu_invalid_2020.parquet (2457 records)
2025-10-04 16:30:18 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2020/iptu_2020.parquet (401458 records)
2025-10-04 16:30:26 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2021/iptu_2021.zip (13820870 bytes)
2025-10-04 16:30:31 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2021/iptu_invalid_2021.parquet (2683 records)
2025-10-04 16:30:41 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2021/iptu_2021.parquet (404562 records)
2025-10-04 16:30:49 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2022/iptu_2022.zip (13221687 bytes)
2025-10-04 16:30:53 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2022/iptu_invalid_2022.parquet (3324 records)
2025-10-04 16:31:02 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2022/iptu_2022.parquet (407766 records)
2025-10-04 16:31:10 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2023/iptu_2023.zip (13285089 bytes)
2025-10-04 16:31:15 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2023/iptu_invalid_2023.parquet (3867 records)
2025-10-04 16:31:25 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2023/iptu_2023.parquet (411162 records)
2025-10-04 16:31:26 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2024/iptu_2024.zip (33823 bytes)
2025-10-04 16:32:59 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 16:32:59 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 16:32:59 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 16:33:09 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 16:33:16 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2020/iptu_invalid_2020.parquet (2457 records)
2025-10-04 16:33:28 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2020/iptu_2020.parquet (401458 records)
2025-10-04 16:33:35 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2021/iptu_2021.zip (13820870 bytes)
2025-10-04 16:33:39 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2021/iptu_invalid_2021.parquet (2683 records)
2025-10-04 16:33:51 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2021/iptu_2021.parquet (404562 records)
2025-10-04 16:33:59 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2022/iptu_2022.zip (13221687 bytes)
2025-10-04 16:34:04 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2022/iptu_invalid_2022.parquet (3324 records)
2025-10-04 16:34:15 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2022/iptu_2022.parquet (407766 records)
2025-10-04 16:34:22 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2023/iptu_2023.zip (13285089 bytes)
2025-10-04 16:34:26 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2023/iptu_invalid_2023.parquet (3867 records)
2025-10-04 16:34:36 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2023/iptu_2023.parquet (411162 records)
2025-10-04 16:34:36 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2024/iptu_2024.zip (33823 bytes)
2025-10-04 16:35:28 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 16:35:28 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 16:35:28 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 16:35:38 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 16:35:46 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2020/iptu_invalid_2020.parquet (2457 records)
2025-10-04 16:35:57 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2020/iptu_2020.parquet (401458 records)
2025-10-04 16:36:05 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2021/iptu_2021.zip (13820870 bytes)
2025-10-04 16:36:10 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2021/iptu_invalid_2021.parquet (2683 records)
2025-10-04 16:36:19 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2021/iptu_2021.parquet (404562 records)
2025-10-04 16:36:26 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2022/iptu_2022.zip (13221687 bytes)
2025-10-04 16:36:31 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2022/iptu_invalid_2022.parquet (3324 records)
2025-10-04 16:36:41 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2022/iptu_2022.parquet (407766 records)
2025-10-04 16:36:48 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2023/iptu_2023.zip (13285089 bytes)
2025-10-04 16:36:52 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2023/iptu_invalid_2023.parquet (3867 records)
2025-10-04 16:37:02 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2023/iptu_2023.parquet (411162 records)
2025-10-04 16:37:03 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2024/iptu_2024.zip (33823 bytes)
2025-10-04 16:38:49 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 16:38:49 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 16:38:49 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 16:39:01 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 16:39:07 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2020/iptu_invalid_2020.parquet (2457 records)
2025-10-04 16:39:20 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2020/iptu_2020.parquet (401458 records)
2025-10-04 16:39:28 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2021/iptu_2021.zip (13820870 bytes)
2025-10-04 16:39:32 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2021/iptu_invalid_2021.parquet (2683 records)
2025-10-04 16:39:41 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2021/iptu_2021.parquet (404562 records)
2025-10-04 16:39:48 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2022/iptu_2022.zip (13221687 bytes)
2025-10-04 16:39:55 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2022/iptu_invalid_2022.parquet (3324 records)
2025-10-04 16:40:05 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2022/iptu_2022.parquet (407766 records)
2025-10-04 16:40:12 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2023/iptu_2023.zip (13285089 bytes)
2025-10-04 16:40:17 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2023/iptu_invalid_2023.parquet (3867 records)
2025-10-04 16:40:26 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2023/iptu_2023.parquet (411162 records)
2025-10-04 16:40:27 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2024/iptu_2024.zip (33823 bytes)
2025-10-04 16:40:27 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2024/iptu_2024.parquet (500 records)
2025-10-04 16:40:40 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/iptu_unificado.parquet (1625448 records)
2025-10-04 16:40:41 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-quality/quality_report.json (679 bytes)
2025-10-04 16:41:58 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 16:41:58 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 16:41:58 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 16:42:07 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 16:42:14 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2020/iptu_invalid_2020.parquet (2457 records)
2025-10-04 16:42:27 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2020/iptu_2020.parquet (401458 records)
2025-10-04 16:42:34 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2021/iptu_2021.zip (13820870 bytes)
2025-10-04 16:42:43 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2021/iptu_invalid_2021.parquet (2683 records)
2025-10-04 16:42:59 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2021/iptu_2021.parquet (404562 records)
2025-10-04 16:43:09 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2022/iptu_2022.zip (13221687 bytes)
2025-10-04 16:43:18 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2022/iptu_invalid_2022.parquet (3324 records)
2025-10-04 16:43:26 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2022/iptu_2022.parquet (407766 records)
2025-10-04 16:43:34 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2023/iptu_2023.zip (13285089 bytes)
2025-10-04 16:43:43 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2023/iptu_invalid_2023.parquet (3867 records)
2025-10-04 16:43:59 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2023/iptu_2023.parquet (411162 records)
2025-10-04 16:44:00 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2024/iptu_2024.zip (33823 bytes)
2025-10-04 16:44:01 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2024/iptu_2024.parquet (500 records)
2025-10-04 16:44:12 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/iptu_unificado.parquet (1625448 records)
2025-10-04 16:44:13 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-quality/quality_report.json (679 bytes)
2025-10-04 17:19:52 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 17:19:52 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 17:19:52 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 17:20:05 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 17:20:16 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2020/iptu_invalid_2020.parquet (2457 records)
2025-10-04 17:20:35 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2020/iptu_2020.parquet (401458 records)
2025-10-04 17:20:44 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2021/iptu_2021.zip (13820870 bytes)
2025-10-04 17:20:58 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2021/iptu_invalid_2021.parquet (2683 records)
2025-10-04 17:21:19 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2021/iptu_2021.parquet (404562 records)
2025-10-04 17:21:33 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2022/iptu_2022.zip (13221687 bytes)
2025-10-04 17:21:41 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2022/iptu_invalid_2022.parquet (3324 records)
2025-10-04 17:21:54 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2022/iptu_2022.parquet (407766 records)
2025-10-04 17:22:02 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2023/iptu_2023.zip (13285089 bytes)
2025-10-04 17:22:08 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2023/iptu_invalid_2023.parquet (3867 records)
2025-10-04 17:22:19 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2023/iptu_2023.parquet (411162 records)
2025-10-04 17:22:20 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2024/iptu_2024.zip (33823 bytes)
2025-10-04 17:22:21 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2024/iptu_invalid_2024.parquet (2 records)
2025-10-04 17:22:21 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2024/iptu_2024.parquet (498 records)
2025-10-04 17:22:35 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/iptu_unificado.parquet (1625446 records)
2025-10-04 17:22:36 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-quality/quality_report.json (678 bytes)
2025-10-04 17:25:10 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 17:25:10 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 17:25:10 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 17:25:20 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 17:25:29 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2020/iptu_invalid_2020.parquet (2457 records)
2025-10-04 17:25:48 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2020/iptu_2020.parquet (401458 records)
2025-10-04 17:26:00 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2021/iptu_2021.zip (13820870 bytes)
