2025-10-04 16:03:31 | INFO | main | 📥 Processando IPTU 2021 (csv)
2025-10-04 16:03:37 | INFO | main | ✓ Download concluído: 13820870 bytes
2025-10-04 16:03:44 | INFO | main | 📦 2021 raw enviado para s3://iptu-recife-raw/year=2021/iptu_2021.zip
2025-10-04 16:03:47 | INFO | main | ✓ 407245 registros válidos e 0 inválidos do ano 2021
2025-10-04 16:04:02 | INFO | main | ✅ 2021 processados enviados para s3://iptu-recife-processed/year=2021/iptu_2021.parquet
2025-10-04 16:04:02 | INFO | main | 📥 Processando IPTU 2022 (csv)
2025-10-04 16:04:05 | INFO | main | ✓ Download concluído: 13221687 bytes
2025-10-04 16:04:10 | INFO | main | 📦 2022 raw enviado para s3://iptu-recife-raw/year=2022/iptu_2022.zip
2025-10-04 16:04:13 | INFO | main | ✓ 411090 registros válidos e 0 inválidos do ano 2022
2025-10-04 16:04:29 | INFO | main | ✅ 2022 processados enviados para s3://iptu-recife-processed/year=2022/iptu_2022.parquet
2025-10-04 16:04:29 | INFO | main | 📥 Processando IPTU 2023 (csv)
2025-10-04 16:04:33 | INFO | main | ✓ Download concluído: 13285089 bytes
2025-10-04 16:04:36 | INFO | main | 📦 2023 raw enviado para s3://iptu-recife-raw/year=2023/iptu_2023.zip
2025-10-04 16:04:40 | INFO | main | ✓ 415029 registros válidos e 0 inválidos do ano 2023
2025-10-04 16:04:53 | INFO | main | ✅ 2023 processados enviados para s3://iptu-recife-processed/year=2023/iptu_2023.parquet
2025-10-04 16:04:53 | INFO | main | 📥 Processando IPTU 2024 (json)
2025-10-04 16:04:54 | INFO | main | ✓ Download concluído: 33823 bytes
2025-10-04 16:04:54 | INFO | main | 📦 2024 raw enviado para s3://iptu-recife-raw/year=2024/iptu_2024.zip
2025-10-04 16:06:07 | INFO | main | Iniciando pipeline IPTU Recife 🚀
2025-10-04 16:06:07 | INFO | main | 📥 Processando IPTU 2020 (csv)
2025-10-04 16:06:10 | INFO | main | ✓ Download concluído: 12667450 bytes
2025-10-04 16:06:16 | INFO | main | 📦 2020 raw enviado para s3://iptu-recife-raw/year=2020/iptu_2020.zip
2025-10-04 16:06:20 | INFO | main | ✓ 403915 registros válidos e 0 inválidos do ano 2020
2025-10-04 16:06:48 | INFO | main | ✅ 2020 processados enviados para s3://iptu-recife-processed/year=2020/iptu_2020.parquet
2025-10-04 16:06:48 | INFO | main | 📥 Processando IPTU 2021 (csv)
2025-10-04 16:06:51 | INFO | main | ✓ Download concluído: 13820870 bytes
2025-10-04 16:06:57 | INFO | main | 📦 2021 raw enviado para s3://iptu-recife-raw/year=2021/iptu_2021.zip
2025-10-04 16:07:01 | INFO | main | ✓ 407245 registros válidos e 0 inválidos do ano 2021
2025-10-04 16:07:14 | INFO | main | ✅ 2021 processados enviados para s3://iptu-recife-processed/year=2021/iptu_2021.parquet
2025-10-04 16:07:14 | INFO | main | 📥 Processando IPTU 2022 (csv)
2025-10-04 16:07:17 | INFO | main | ✓ Download concluído: 13221687 bytes
2025-10-04 16:07:21 | INFO | main | 📦 2022 raw enviado para s3://iptu-recife-raw/year=2022/iptu_2022.zip
2025-10-04 16:07:24 | INFO | main | ✓ 411090 registros válidos e 0 inválidos do ano 2022
2025-10-04 16:07:38 | INFO | main | ✅ 2022 processados enviados para s3://iptu-recife-processed/year=2022/iptu_2022.parquet
2025-10-04 16:07:38 | INFO | main | 📥 Processando IPTU 2023 (csv)
2025-10-04 16:07:40 | INFO | main | ✓ Download concluído: 13285089 bytes
2025-10-04 16:07:44 | INFO | main | 📦 2023 raw enviado para s3://iptu-recife-raw/year=2023/iptu_2023.zip
2025-10-04 16:07:48 | INFO | main | ✓ 415029 registros válidos e 0 inválidos do ano 2023
2025-10-04 16:08:09 | INFO | main | ✅ 2023 processados enviados para s3://iptu-recife-processed/year=2023/iptu_2023.parquet
2025-10-04 16:08:09 | INFO | main | 📥 Processando IPTU 2024 (json)
2025-10-04 16:08:09 | INFO | main | ✓ Download concluído: 33823 bytes
2025-10-04 16:08:10 | INFO | main | 📦 2024 raw enviado para s3://iptu-recife-raw/year=2024/iptu_2024.zip
2025-10-04 16:08:10 | INFO | main | ✓ 1 registros válidos e 0 inválidos do ano 2024
2025-10-04 16:08:10 | INFO | main | ✅ 2024 processados enviados para s3://iptu-recife-processed/year=2024/iptu_2024.parquet
2025-10-04 16:08:10 | INFO | main | 🔄 Consolidando dataset unificado...
2025-10-04 16:08:26 | INFO | main | 🏁 Dataset unificado (1637280 registros) enviado para s3://iptu-recife-processed/iptu_unificado.parquet
2025-10-04 16:08:26 | INFO | main | 📊 Gerando relatório de qualidade...
2025-10-04 16:08:27 | INFO | main | 📈 Relatório de qualidade enviado para s3://iptu-recife-quality/quality_report.json
2025-10-04 16:08:27 | INFO | main | ============================================================
2025-10-04 16:08:27 | INFO | main | 🎉 PIPELINE CONCLUÍDA COM SUCESSO!
2025-10-04 16:08:27 | INFO | main | ============================================================
2025-10-04 16:08:27 | INFO | main | Total de registros processados: 1,637,280
2025-10-04 16:08:27 | INFO | main | Registros válidos: 1,637,280
2025-10-04 16:08:27 | INFO | main | Registros inválidos: 0
2025-10-04 16:08:27 | INFO | main | Taxa de qualidade geral: 100.0%
2025-10-04 16:08:27 | INFO | main | ============================================================
2025-10-04 16:08:27 | INFO | main | 📦 Buckets S3:
2025-10-04 16:08:27 | INFO | main |   Raw: s3://iptu-recife-raw/
2025-10-04 16:08:27 | INFO | main |   Processed: s3://iptu-recife-processed/
2025-10-04 16:08:27 | INFO | main |   Quality: s3://iptu-recife-quality/
2025-10-04 16:08:27 | INFO | main | ============================================================
2025-10-04 16:21:12 | INFO | main | Iniciando pipeline IPTU Recife 🚀
2025-10-04 16:21:12 | INFO | main | 📥 Processando IPTU 2020 (csv)
2025-10-04 16:21:15 | INFO | main | ✓ Download concluído: 12667450 bytes
2025-10-04 16:21:22 | INFO | main | 📦 2020 raw enviado para s3://iptu-recife-raw/year=2020/iptu_2020.zip
2025-10-04 16:21:24 | INFO | main | ✓ 403915 registros carregados do ano 2020
2025-10-04 16:21:24 | INFO | main | 🔍 Validando qualidade dos dados brutos 2020...
2025-10-04 16:21:24 | INFO | main | ✓ 403915 registros válidos e 0 inválidos do ano 2020
2025-10-04 16:21:24 | INFO | main | 🗺️ Mapeando schema para 2020...
2025-10-04 16:21:25 | INFO | main | 🔧 Harmonizando dados para 2020...
2025-10-04 16:21:37 | INFO | main | ✅ 2020 processados enviados para s3://iptu-recife-processed/year=2020/iptu_2020.parquet
2025-10-04 16:21:37 | INFO | main | 📥 Processando IPTU 2021 (csv)
2025-10-04 16:21:40 | INFO | main | ✓ Download concluído: 13820870 bytes
2025-10-04 16:21:44 | INFO | main | 📦 2021 raw enviado para s3://iptu-recife-raw/year=2021/iptu_2021.zip
2025-10-04 16:21:47 | INFO | main | ✓ 407245 registros carregados do ano 2021
2025-10-04 16:21:47 | INFO | main | 🔍 Validando qualidade dos dados brutos 2021...
2025-10-04 16:21:48 | INFO | main | ✓ 407245 registros válidos e 0 inválidos do ano 2021
2025-10-04 16:21:48 | INFO | main | 🗺️ Mapeando schema para 2021...
2025-10-04 16:21:48 | INFO | main | 🔧 Harmonizando dados para 2021...
2025-10-04 16:21:56 | INFO | main | ✅ 2021 processados enviados para s3://iptu-recife-processed/year=2021/iptu_2021.parquet
2025-10-04 16:21:56 | INFO | main | 📥 Processando IPTU 2022 (csv)
2025-10-04 16:21:59 | INFO | main | ✓ Download concluído: 13221687 bytes
2025-10-04 16:22:03 | INFO | main | 📦 2022 raw enviado para s3://iptu-recife-raw/year=2022/iptu_2022.zip
2025-10-04 16:22:06 | INFO | main | ✓ 411090 registros carregados do ano 2022
2025-10-04 16:22:06 | INFO | main | 🔍 Validando qualidade dos dados brutos 2022...
2025-10-04 16:22:06 | INFO | main | ✓ 411090 registros válidos e 0 inválidos do ano 2022
2025-10-04 16:22:06 | INFO | main | 🗺️ Mapeando schema para 2022...
2025-10-04 16:22:07 | INFO | main | 🔧 Harmonizando dados para 2022...
2025-10-04 16:22:15 | INFO | main | ✅ 2022 processados enviados para s3://iptu-recife-processed/year=2022/iptu_2022.parquet
2025-10-04 16:22:15 | INFO | main | 📥 Processando IPTU 2023 (csv)
2025-10-04 16:22:19 | INFO | main | ✓ Download concluído: 13285089 bytes
2025-10-04 16:22:23 | INFO | main | 📦 2023 raw enviado para s3://iptu-recife-raw/year=2023/iptu_2023.zip
2025-10-04 16:22:28 | INFO | main | ✓ 415029 registros carregados do ano 2023
2025-10-04 16:22:28 | INFO | main | 🔍 Validando qualidade dos dados brutos 2023...
2025-10-04 16:22:30 | INFO | main | ✓ 415029 registros válidos e 0 inválidos do ano 2023
2025-10-04 16:22:30 | INFO | main | 🗺️ Mapeando schema para 2023...
2025-10-04 16:22:30 | INFO | main | 🔧 Harmonizando dados para 2023...
2025-10-04 16:22:52 | INFO | main | ✅ 2023 processados enviados para s3://iptu-recife-processed/year=2023/iptu_2023.parquet
2025-10-04 16:22:52 | INFO | main | 📥 Processando IPTU 2024 (json)
2025-10-04 16:22:53 | INFO | main | ✓ Download concluído: 33823 bytes
2025-10-04 16:22:54 | INFO | main | 📦 2024 raw enviado para s3://iptu-recife-raw/year=2024/iptu_2024.zip
2025-10-04 16:22:54 | INFO | main | ✓ 2 registros carregados do ano 2024
2025-10-04 16:22:54 | INFO | main | 🔍 Validando qualidade dos dados brutos 2024...
2025-10-04 16:25:58 | INFO | main | Iniciando pipeline IPTU Recife 🚀
2025-10-04 16:25:58 | INFO | main | 📥 Processando IPTU 2020 (csv)
2025-10-04 16:26:02 | INFO | main | ✓ Download concluído: 12667450 bytes
2025-10-04 16:26:08 | INFO | main | 📦 2020 raw enviado para s3://iptu-recife-raw/year=2020/iptu_2020.zip
2025-10-04 16:26:11 | INFO | main | ✓ 403915 registros carregados do ano 2020
2025-10-04 16:26:11 | INFO | main | 🔍 Validando qualidade dos dados brutos 2020...
2025-10-04 16:26:12 | INFO | main | ✓ 401458 registros válidos e 2457 inválidos do ano 2020
2025-10-04 16:26:15 | INFO | main | ⚠️ 2020 inválidos enviados para s3://iptu-recife-quality/year=2020/iptu_invalid_2020.parquet
2025-10-04 16:26:15 | INFO | main | 🗺️ Mapeando schema para 2020...
2025-10-04 16:26:15 | INFO | main | 🔧 Harmonizando dados para 2020...
2025-10-04 16:29:43 | INFO | main | Iniciando pipeline IPTU Recife 🚀
2025-10-04 16:29:43 | INFO | main | 📥 Processando IPTU 2020 (csv)
2025-10-04 16:29:47 | INFO | main | ✓ Download concluído: 12667450 bytes
2025-10-04 16:29:59 | INFO | main | 📦 2020 raw enviado para s3://iptu-recife-raw/year=2020/iptu_2020.zip
2025-10-04 16:30:02 | INFO | main | ✓ 403915 registros carregados do ano 2020
2025-10-04 16:30:02 | INFO | main | 🔍 Validando qualidade dos dados brutos 2020...
2025-10-04 16:30:03 | INFO | main | ✓ 401458 registros válidos e 2457 inválidos do ano 2020
2025-10-04 16:30:06 | INFO | main | ⚠️ 2020 inválidos enviados para s3://iptu-recife-quality/year=2020/iptu_invalid_2020.parquet
2025-10-04 16:30:06 | INFO | main | 🗺️ Mapeando schema para 2020...
2025-10-04 16:30:06 | INFO | main | 🔧 Harmonizando dados para 2020...
2025-10-04 16:30:18 | INFO | main | ✅ 2020 processados enviados para s3://iptu-recife-processed/year=2020/iptu_2020.parquet
2025-10-04 16:30:18 | INFO | main | 📥 Processando IPTU 2021 (csv)
2025-10-04 16:30:22 | INFO | main | ✓ Download concluído: 13820870 bytes
2025-10-04 16:30:26 | INFO | main | 📦 2021 raw enviado para s3://iptu-recife-raw/year=2021/iptu_2021.zip
2025-10-04 16:30:29 | INFO | main | ✓ 407245 registros carregados do ano 2021
2025-10-04 16:30:29 | INFO | main | 🔍 Validando qualidade dos dados brutos 2021...
2025-10-04 16:30:30 | INFO | main | ✓ 404562 registros válidos e 2683 inválidos do ano 2021
2025-10-04 16:30:31 | INFO | main | ⚠️ 2021 inválidos enviados para s3://iptu-recife-quality/year=2021/iptu_invalid_2021.parquet
2025-10-04 16:30:31 | INFO | main | 🗺️ Mapeando schema para 2021...
2025-10-04 16:30:31 | INFO | main | 🔧 Harmonizando dados para 2021...
2025-10-04 16:30:41 | INFO | main | ✅ 2021 processados enviados para s3://iptu-recife-processed/year=2021/iptu_2021.parquet
2025-10-04 16:30:41 | INFO | main | 📥 Processando IPTU 2022 (csv)
2025-10-04 16:30:45 | INFO | main | ✓ Download concluído: 13221687 bytes
2025-10-04 16:30:49 | INFO | main | 📦 2022 raw enviado para s3://iptu-recife-raw/year=2022/iptu_2022.zip
2025-10-04 16:30:52 | INFO | main | ✓ 411090 registros carregados do ano 2022
2025-10-04 16:30:52 | INFO | main | 🔍 Validando qualidade dos dados brutos 2022...
2025-10-04 16:30:53 | INFO | main | ✓ 407766 registros válidos e 3324 inválidos do ano 2022
2025-10-04 16:30:53 | INFO | main | ⚠️ 2022 inválidos enviados para s3://iptu-recife-quality/year=2022/iptu_invalid_2022.parquet
2025-10-04 16:30:53 | INFO | main | 🗺️ Mapeando schema para 2022...
2025-10-04 16:30:54 | INFO | main | 🔧 Harmonizando dados para 2022...
2025-10-04 16:31:02 | INFO | main | ✅ 2022 processados enviados para s3://iptu-recife-processed/year=2022/iptu_2022.parquet
2025-10-04 16:31:02 | INFO | main | 📥 Processando IPTU 2023 (csv)
2025-10-04 16:31:06 | INFO | main | ✓ Download concluído: 13285089 bytes
2025-10-04 16:31:10 | INFO | main | 📦 2023 raw enviado para s3://iptu-recife-raw/year=2023/iptu_2023.zip
2025-10-04 16:31:13 | INFO | main | ✓ 415029 registros carregados do ano 2023
2025-10-04 16:31:13 | INFO | main | 🔍 Validando qualidade dos dados brutos 2023...
2025-10-04 16:31:14 | INFO | main | ✓ 411162 registros válidos e 3867 inválidos do ano 2023
2025-10-04 16:31:15 | INFO | main | ⚠️ 2023 inválidos enviados para s3://iptu-recife-quality/year=2023/iptu_invalid_2023.parquet
2025-10-04 16:31:15 | INFO | main | 🗺️ Mapeando schema para 2023...
2025-10-04 16:31:15 | INFO | main | 🔧 Harmonizando dados para 2023...
2025-10-04 16:31:25 | INFO | main | ✅ 2023 processados enviados para s3://iptu-recife-processed/year=2023/iptu_2023.parquet
2025-10-04 16:31:25 | INFO | main | 📥 Processando IPTU 2024 (json)
2025-10-04 16:31:25 | INFO | main | ✓ Download concluído: 33823 bytes
2025-10-04 16:31:26 | INFO | main | 📦 2024 raw enviado para s3://iptu-recife-raw/year=2024/iptu_2024.zip
